ID.yr,ID,year,age,offspring_inde,jul_incubeZY,final_breed,sex
696440-nyRN--1993,696440-nyRN,1993,2,1,3,0,F
696440-nyRN--1994,696440-nyRN,1994,3,1,NA,0,F
696445-wrRG--1992,696445-wrRG,1992,1,2,NA,0,F
696445-wrRG--1993,696445-wrRG,1993,2,3,8,0,F
696445-wrRG--1994,696445-wrRG,1994,3,5,6,0,F
696445-wrRG--1995,696445-wrRG,1995,4,6,NA,0,F
696453-brRG--1992,696453-brRG,1992,1,3,43,0,F
696453-brRG--1993,696453-brRG,1993,2,5,-5,0,F
696463-wgOB--1992,696463-wgOB,1992,1,0,16,0,F
696463-wgOB--1993,696463-wgOB,1993,2,3,2,0,F
696463-wgOB--1994,696463-wgOB,1994,3,0,-7,0,F
696463-wgOB--1995,696463-wgOB,1995,4,1,NA,0,F
696465-ARY--1991,696465-ARY,1991,1,4,NA,0,F
696468-brWG--1992,696468-brWG,1992,1,3,17,0,F
696468-brWG--1993,696468-brWG,1993,2,5,NA,1,F
696470-AYB--1992,696470-AYB,1992,1,4,14,0,F
696470-AYB--1993,696470-AYB,1993,2,0,6,0,F
696483-AYM--1992,696483-AYM,1992,2,3,6,0,F
696483-AYM--1993,696483-AYM,1993,3,3,NA,0,F
696483-AYM--1994,696483-AYM,1994,4,0,2,0,F
696495-wgNN--1992,696495-wgNN,1992,1,2,40,0,F
696495-wgNN--1993,696495-wgNN,1993,2,2,4,0,F
696495-wgNN--1994,696495-wgNN,1994,3,4,-6,0,F
696495-wgNN--1995,696495-wgNN,1995,4,2,NA,0,F
696495-wgNN--1996,696495-wgNN,1996,5,3,-4,0,F
696495-wgNN--1997,696495-wgNN,1997,6,0,-12,0,F
696495-wgNN--1998,696495-wgNN,1998,7,3,-6,0,F
696495-wgNN--1999,696495-wgNN,1999,8,3,7,0,F
696495-wgNN--2000,696495-wgNN,2000,9,1,NA,0,F
696496-wgNO--1992,696496-wgNO,1992,1,4,35,0,F
696496-wgNO--1993,696496-wgNO,1993,2,5,NA,0,F
696496-wgNO--1994,696496-wgNO,1994,3,1,27,0,F
696499-AOM--1992,696499-AOM,1992,1,2,23,0,F
696499-AOM--1993,696499-AOM,1993,2,2,NA,0,F
696499-AOM--1994,696499-AOM,1994,3,5,-6,0,F
696500-AGB--1992,696500-AGB,1992,1,3,-3,0,F
696500-AGB--1993,696500-AGB,1993,2,4,-2,0,F
696500-AGB--1994,696500-AGB,1994,3,3,-7,0,F
696516-BAM--1992,696516-BAM,1992,1,3,NA,0,F
696519-brWW--1992,696519-brWW,1992,1,0,NA,0,F
696519-brWW--1993,696519-brWW,1993,2,0,-4,0,F
696520-OBA--1992,696520-OBA,1992,1,0,NA,0,F
696520-OBA--1993,696520-OBA,1993,2,1,2,0,F
696532-WWO--1992,696532-WWO,1992,1,3,13,0,F
696558-NRA--1992,696558-NRA,1992,1,3,2,0,F
696558-NRA--1993,696558-NRA,1993,2,4,-2,0,F
696562-RWY--1992,696562-RWY,1992,1,0,25,0,F
696563-WWN--1992,696563-WWN,1992,1,0,30,0,F
696563-WWN--1993,696563-WWN,1993,2,0,1,0,F
696563-WWN--1994,696563-WWN,1994,3,2,NA,0,F
696566-BYG--1992,696566-BYG,1992,1,0,35,0,F
696566-BYG--1993,696566-BYG,1993,2,2,-3,1,F
696580-OOO--1992,696580-OOO,1992,1,0,NA,0,F
696580-OOO--1993,696580-OOO,1993,2,2,6,0,F
696601-brYY--1993,696601-brYY,1993,1,2,NA,0,F
696651-grBY--1993,696651-grBY,1993,1,1,NA,0,F
696651-grBY--1994,696651-grBY,1994,2,2,3,0,F
696678-NOY--1992,696678-NOY,1992,1,3,1,0,F
696678-NOY--1993,696678-NOY,1993,2,1,0,0,F
696687-OMM--1992,696687-OMM,1992,1,0,27,0,F
696692-ynYY--1993,696692-ynYY,1993,1,1,NA,0,F
725028-rwWR--1993,725028-rwWR,1993,1,1,NA,0,F
725028-rwWR--1994,725028-rwWR,1994,2,1,3,0,F
725028-rwWR--1995,725028-rwWR,1995,3,4,-10,0,F
725028-rwWR--1996,725028-rwWR,1996,4,1,-4,0,F
725036-MOO--1992,725036-MOO,1992,1,2,NA,0,F
725036-MOO--1993,725036-MOO,1993,2,7,-14,0,F
725058-AWB--1993,725058-AWB,1993,1,2,14,0,F
725075-ynOM--1993,725075-ynOM,1993,1,0,28,0,F
725076-ynNY--1993,725076-ynNY,1993,1,1,43,0,F
725157-ARR--1993,725157-ARR,1993,1,0,NA,0,F
725157-ARR--1994,725157-ARR,1994,2,0,-14,0,F
725171-GOW--1993,725171-GOW,1993,1,2,16,0,F
725171-GOW--1994,725171-GOW,1994,2,3,8,0,F
725176-OBR--1993,725176-OBR,1993,1,0,NA,0,F
725176-OBR--1994,725176-OBR,1994,2,3,NA,0,F
725176-OBR--1995,725176-OBR,1995,3,3,-3,0,F
725185-BRB--1993,725185-BRB,1993,1,0,66,0,F
725197-GOY--1993,725197-GOY,1993,1,0,NA,0,F
725197-GOY--1994,725197-GOY,1994,2,2,NA,0,F
725197-GOY--1995,725197-GOY,1995,3,6,NA,0,F
725197-GOY--1996,725197-GOY,1996,4,4,0,0,F
725198-BGO--1993,725198-BGO,1993,1,3,19,0,F
725205-ROY--1993,725205-ROY,1993,1,3,NA,0,F
725205-ROY--1994,725205-ROY,1994,2,3,NA,0,F
725205-ROY--1995,725205-ROY,1995,3,4,0,0,F
725205-ROY--1996,725205-ROY,1996,4,0,NA,0,F
725207-YNO--1993,725207-YNO,1993,1,3,25,0,F
725207-YNO--1994,725207-YNO,1994,2,3,NA,0,F
725215-BRA--1993,725215-BRA,1993,1,2,35,0,F
725215-BRA--1994,725215-BRA,1994,2,3,32,0,F
725215-BRA--1995,725215-BRA,1995,3,2,-5,0,F
725215-BRA--1996,725215-BRA,1996,4,3,NA,0,F
725215-BRA--1997,725215-BRA,1997,5,0,-8,0,F
725217-MYW--1993,725217-MYW,1993,1,0,39,0,F
725217-MYW--1994,725217-MYW,1994,2,3,0,0,F
725229-WYN--1993,725229-WYN,1993,1,0,27,0,F
725252-GYR--1993,725252-GYR,1993,1,3,NA,0,F
725253-MWR--1993,725253-MWR,1993,1,0,NA,0,F
725280-BOR--1993,725280-BOR,1993,1,0,19,0,F
725280-BOR--1994,725280-BOR,1994,2,3,-4,0,F
725280-BOR--1995,725280-BOR,1995,3,4,-16,0,F
725295-RYM--1993,725295-RYM,1993,1,2,51,0,F
725333-GOB--1993,725333-GOB,1993,1,0,NA,0,F
725333-GOB--1994,725333-GOB,1994,2,2,-6,0,F
725371-YBN--1993,725371-YBN,1993,1,0,53,0,F
725379-BOY--1994,725379-BOY,1994,2,3,10,0,F
725379-BOY--1995,725379-BOY,1995,3,2,5,0,F
725379-BOY--1996,725379-BOY,1996,4,3,-20,0,F
725391-AwbN--1994,725391-AwbN,1994,1,2,25,0,F
725391-AwbN--1995,725391-AwbN,1995,2,4,4,0,F
725391-AwbN--1996,725391-AwbN,1996,3,4,3,0,F
725391-AwbN--1997,725391-AwbN,1997,4,2,11,0,F
725391-AwbN--1998,725391-AwbN,1998,5,0,23,0,F
725416-GrnO--1994,725416-GrnO,1994,1,3,32,0,F
725416-GrnO--1995,725416-GrnO,1995,2,2,11,0,F
725416-GrnO--1996,725416-GrnO,1996,3,1,NA,0,F
725416-GrnO--1997,725416-GrnO,1997,4,1,0,0,F
725452-GwgN--1994,725452-GwgN,1994,1,0,NA,0,F
725452-GwgN--1995,725452-GwgN,1995,2,3,-1,0,F
725452-GwgN--1996,725452-GwgN,1996,3,0,NA,0,F
725452-GwgN--1997,725452-GwgN,1997,4,3,-17,0,F
725464-ArgM--1994,725464-ArgM,1994,1,0,29,0,F
725488-BYB--1993,725488-BYB,1993,1,3,41,0,F
725501-MrnR--1995,725501-MrnR,1995,2,0,NA,0,F
725508-OynA--1994,725508-OynA,1994,1,0,40,0,F
725509-NynO--1994,725509-NynO,1994,1,0,31,0,F
725509-NynO--1995,725509-NynO,1995,2,2,-18,0,F
725509-NynO--1996,725509-NynO,1996,3,0,NA,0,F
725521-OynM--1994,725521-OynM,1994,1,0,29,0,F
725545-NynY--1994,725545-NynY,1994,1,0,21,0,F
725545-NynY--1995,725545-NynY,1995,2,5,NA,0,F
725545-NynY--1996,725545-NynY,1996,3,3,-2,0,F
725545-NynY--1997,725545-NynY,1997,4,3,-8,0,F
725573-RBM--1995,725573-RBM,1995,2,4,NA,0,F
725574-MOB--1994,725574-MOB,1994,1,0,40,0,F
725578-RYB--1994,725578-RYB,1994,1,0,18,0,F
725579-YGG--1994,725579-YGG,1994,1,3,NA,0,F
725579-YGG--1995,725579-YGG,1995,2,4,7,0,F
725579-YGG--1996,725579-YGG,1996,3,0,7,0,F
725580-BOO--1994,725580-BOO,1994,1,1,NA,0,F
725581-YAY--1994,725581-YAY,1994,1,0,11,0,F
725582-GAG--1994,725582-GAG,1994,1,1,16,0,F
725582-GAG--1995,725582-GAG,1995,2,4,-4,0,F
725582-GAG--1996,725582-GAG,1996,3,1,NA,0,F
725582-GAG--1997,725582-GAG,1997,4,0,NA,0,F
725587-ROG--1994,725587-ROG,1994,1,0,18,0,F
725587-ROG--1995,725587-ROG,1995,2,0,NA,0,F
725587-ROG--1996,725587-ROG,1996,3,0,NA,0,F
725589-BOA--1994,725589-BOA,1994,1,3,NA,0,F
725589-BOA--1995,725589-BOA,1995,2,5,-13,0,F
725589-BOA--1996,725589-BOA,1996,3,3,-13,0,F
725590-ANO--1994,725590-ANO,1994,1,3,12,0,F
725594-NBY--1994,725594-NBY,1994,1,1,NA,0,F
725594-NBY--1995,725594-NBY,1995,2,3,12,0,F
725594-NBY--1996,725594-NBY,1996,3,2,13,0,F
725595-WAN--1994,725595-WAN,1994,1,0,NA,0,F
725597-RBR--1994,725597-RBR,1994,1,0,NA,0,F
725597-RBR--1995,725597-RBR,1995,2,2,8,0,F
725619-BanG--1995,725619-BanG,1995,1,1,16,0,F
725619-BanG--1996,725619-BanG,1996,2,2,-16,0,F
725622-GraW--1995,725622-GraW,1995,1,0,NA,0,F
725622-GraW--1996,725622-GraW,1996,2,4,32,0,F
725622-GraW--1997,725622-GraW,1997,3,2,23,0,F
725622-GraW--1998,725622-GraW,1998,4,2,18,0,F
725622-GraW--1999,725622-GraW,1999,5,0,NA,0,F
725658-RnrB--1995,725658-RnrB,1995,1,3,11,0,F
725658-RnrB--1996,725658-RnrB,1996,2,1,-19,0,F
725669-RgrW--1995,725669-RgrW,1995,1,3,NA,0,F
725669-RgrW--1996,725669-RgrW,1996,2,0,-16,0,F
725669-RgrW--1997,725669-RgrW,1997,3,0,-26,0,F
725697-OanG--1995,725697-OanG,1995,1,2,NA,0,F
725697-OanG--1996,725697-OanG,1996,2,2,1,0,F
725697-OanG--1997,725697-OanG,1997,3,2,8,0,F
725697-OanG--1998,725697-OanG,1998,4,0,-14,0,F
725721-WraR--1995,725721-WraR,1995,1,0,21,0,F
725727-AyrA--1995,725727-AyrA,1995,1,3,45,0,F
725727-AyrA--1996,725727-AyrA,1996,2,0,-3,0,F
725727-AyrA--1997,725727-AyrA,1997,3,0,-11,0,F
725733-NgrY--1995,725733-NgrY,1995,1,3,25,0,F
725733-NgrY--1996,725733-NgrY,1996,2,3,5,0,F
725796-WOG--1995,725796-WOG,1995,1,2,24,0,F
725796-WOG--1996,725796-WOG,1996,2,2,7,0,F
725797-OOB--1995,725797-OOB,1995,1,0,62,0,F
725797-OOB--1996,725797-OOB,1996,2,2,8,0,F
725799-WBA--1995,725799-WBA,1995,1,2,NA,0,F
725801-MGY--1995,725801-MGY,1995,1,2,NA,0,F
725801-MGY--1996,725801-MGY,1996,2,2,-4,0,F
725801-MGY--1997,725801-MGY,1997,3,1,-2,1,F
725806-NYY--1995,725806-NYY,1995,1,4,18,0,F
725813-MOW--1995,725813-MOW,1995,1,1,24,0,F
725813-MOW--1996,725813-MOW,1996,2,0,NA,0,F
725844-YOB--1995,725844-YOB,1995,1,3,33,0,F
725853-YMG--1995,725853-YMG,1995,1,0,NA,0,F
725853-YMG--1996,725853-YMG,1996,2,3,0,0,F
776013-_yryr--2000,776013-_yryr,2000,1,0,54,0,F
776126-yrNR--1996,776126-yrNR,1996,1,0,NA,0,F
776128-GBY--1995,776128-GBY,1995,1,1,28,0,F
776198-yrBM--1996,776198-yrBM,1996,1,0,NA,0,F
776233-RBY--1996,776233-RBY,1996,1,1,-11,0,F
776233-RBY--1997,776233-RBY,1997,2,1,-14,0,F
776233-RBY--1998,776233-RBY,1998,3,1,-4,0,F
776233-RBY--1999,776233-RBY,1999,4,0,1,0,F
776233-RBY--2000,776233-RBY,2000,5,2,-3,0,F
776233-RBY--2001,776233-RBY,2001,6,1,-16,0,F
776243-byYR--1996,776243-byYR,1996,1,3,35,0,F
776243-byYR--1997,776243-byYR,1997,2,0,-5,0,F
776243-byYR--1998,776243-byYR,1998,3,2,NA,0,F
776243-byYR--1999,776243-byYR,1999,4,6,NA,0,F
776244-byAO--1996,776244-byAO,1996,1,3,16,0,F
776244-byAO--1997,776244-byAO,1997,2,0,-3,0,F
776244-byAO--1998,776244-byAO,1998,3,5,0,0,F
776256-NRG--1996,776256-NRG,1996,1,0,NA,0,F
776256-NRG--1997,776256-NRG,1997,2,2,-7,0,F
776256-NRG--1998,776256-NRG,1998,3,0,-27,0,F
776256-NRG--1999,776256-NRG,1999,4,3,-19,0,F
776256-NRG--2000,776256-NRG,2000,5,2,-11,0,F
776256-NRG--2001,776256-NRG,2001,6,2,-22,0,F
776256-NRG--2002,776256-NRG,2002,7,1,-13,0,F
776258-yrNA--1996,776258-yrNA,1996,1,0,16,0,F
776258-yrNA--1997,776258-yrNA,1997,2,4,7,0,F
776263-OMY--1996,776263-OMY,1996,1,0,NA,0,F
776263-OMY--1997,776263-OMY,1997,2,3,7,0,F
776265-NAM--1996,776265-NAM,1996,1,3,33,0,F
776267-OGO--1996,776267-OGO,1996,1,4,-7,0,F
776301-arOB--1996,776301-arOB,1996,1,0,13,0,F
776318-byNW--1996,776318-byNW,1996,1,0,29,0,F
776318-byNW--1997,776318-byNW,1997,2,5,1,0,F
776318-byNW--1998,776318-byNW,1998,3,2,2,0,F
776318-byNW--1999,776318-byNW,1999,4,3,NA,0,F
776318-byNW--2000,776318-byNW,2000,5,4,9,0,F
776320-MOA--1996,776320-MOA,1996,1,0,3,0,F
776345-BWO--1996,776345-BWO,1996,1,2,NA,0,F
776360-rnOA--1996,776360-rnOA,1996,1,0,56,0,F
776360-rnOA--1997,776360-rnOA,1997,2,2,-16,0,F
776360-rnOA--1998,776360-rnOA,1998,3,5,NA,0,F
776360-rnOA--1999,776360-rnOA,1999,4,3,NA,0,F
776360-rnOA--2000,776360-rnOA,2000,5,4,1,0,F
776360-rnOA--2001,776360-rnOA,2001,6,0,-6,1,F
776379-RMB--1996,776379-RMB,1996,1,3,27,0,F
776379-RMB--1997,776379-RMB,1997,2,3,10,0,F
776379-RMB--1998,776379-RMB,1998,3,4,5,0,F
776380-NBB--1996,776380-NBB,1996,1,0,32,0,F
776380-NBB--1997,776380-NBB,1997,2,1,-7,0,F
776380-NBB--1998,776380-NBB,1998,3,3,NA,0,F
776380-NBB--1999,776380-NBB,1999,4,4,-14,0,F
776380-NBB--2000,776380-NBB,2000,5,2,0,0,F
776383-BNR--1996,776383-BNR,1996,1,0,9,0,F
776383-BNR--1997,776383-BNR,1997,2,0,0,0,F
776383-BNR--1998,776383-BNR,1998,3,1,-2,0,F
776383-BNR--1999,776383-BNR,1999,4,0,NA,0,F
776384-OGB--1996,776384-OGB,1996,1,1,8,0,F
776384-OGB--1997,776384-OGB,1997,2,3,1,0,F
776384-OGB--1998,776384-OGB,1998,3,0,NA,0,F
776385-YBM--1997,776385-YBM,1997,2,2,6,0,F
776386-NMA--1996,776386-NMA,1996,1,2,46,0,F
776387-GWB--1996,776387-GWB,1996,1,2,NA,0,F
776387-GWB--1997,776387-GWB,1997,2,0,39,0,F
776388-YGN--1996,776388-YGN,1996,1,0,23,0,F
776391-MGN2--1995,776391-MGN2,1995,1,4,NA,0,F
776402-OMG--1996,776402-OMG,1996,1,4,-2,0,F
776403-BGG--1996,776403-BGG,1996,1,2,12,0,F
776407-OBM--1996,776407-OBM,1996,1,0,34,0,F
776409-WGG--1996,776409-WGG,1996,1,0,6,0,F
776409-WGG--1997,776409-WGG,1997,2,3,6,0,F
776409-WGG--1998,776409-WGG,1998,3,3,NA,0,F
776409-WGG--1999,776409-WGG,1999,4,0,NA,0,F
776409-WGG--2000,776409-WGG,2000,5,0,NA,0,F
776412-ONM--1996,776412-ONM,1996,1,3,17,0,F
776412-ONM--1997,776412-ONM,1997,2,1,NA,0,F
776412-ONM--1998,776412-ONM,1998,3,1,4,0,F
776412-ONM--1999,776412-ONM,1999,4,3,-1,0,F
776412-ONM--2000,776412-ONM,2000,5,1,3,0,F
776412-ONM--2001,776412-ONM,2001,6,1,-5,0,F
776413-YBB--1996,776413-YBB,1996,1,0,NA,0,F
776415-MWO--1996,776415-MWO,1996,1,0,NA,0,F
776419-RMM--1996,776419-RMM,1996,1,3,22,0,F
776420-YGY--1996,776420-YGY,1996,1,3,NA,0,F
776423-NMR--1996,776423-NMR,1996,1,4,NA,0,F
776424-OOY--1996,776424-OOY,1996,1,0,NA,1,F
776434-WOW--1996,776434-WOW,1996,1,2,37,0,F
776442-raYN--1997,776442-raYN,1997,1,1,10,0,F
776446-GMG--1996,776446-GMG,1996,1,0,NA,0,F
776446-GMG--1997,776446-GMG,1997,2,3,13,0,F
776446-GMG--1998,776446-GMG,1998,3,0,5,0,F
776446-GMG--1999,776446-GMG,1999,4,0,12,0,F
776446-GMG--2000,776446-GMG,2000,5,3,0,0,F
776446-GMG--2001,776446-GMG,2001,6,3,15,0,F
776446-GMG--2002,776446-GMG,2002,7,2,0,0,F
776450-nrBG--1997,776450-nrBG,1997,1,0,NA,0,F
776451-nrMW--1997,776451-nrMW,1997,1,1,14,0,F
776451-nrMW--1998,776451-nrMW,1998,2,2,1,0,F
776451-nrMW--1999,776451-nrMW,1999,3,0,NA,0,F
776451-nrMW--2000,776451-nrMW,2000,4,0,NA,0,F
776451-nrMW--2001,776451-nrMW,2001,5,6,-25,0,F
776472-OMO--1996,776472-OMO,1996,1,2,47,0,F
776472-OMO--1997,776472-OMO,1997,2,3,11,0,F
776472-OMO--1998,776472-OMO,1998,3,5,2,0,F
776472-OMO--1999,776472-OMO,1999,4,1,NA,0,F
776472-OMO--2000,776472-OMO,2000,5,3,23,0,F
776472-OMO--2001,776472-OMO,2001,6,2,NA,0,F
776485-anAM--1997,776485-anAM,1997,1,3,4,0,F
776527-anAW--1998,776527-anAW,1998,2,2,NA,0,F
776532-nwYN--1997,776532-nwYN,1997,1,3,15,0,F
776532-nwYN--1998,776532-nwYN,1998,2,2,NA,0,F
776532-nwYN--1999,776532-nwYN,1999,3,0,NA,0,F
776553-ryAM--1998,776553-ryAM,1998,2,1,12,0,F
776553-ryAM--1999,776553-ryAM,1999,3,2,NA,0,F
776554-ryBR--1997,776554-ryBR,1997,1,3,26,0,F
776554-ryBR--1998,776554-ryBR,1998,2,3,NA,0,F
776621-ryYN--1997,776621-ryYN,1997,1,0,NA,0,F
776682-nwGM--1998,776682-nwGM,1998,2,0,-4,0,F
776722-nrNW--1997,776722-nrNW,1997,1,2,16,0,F
776746-AYN2--1997,776746-AYN2,1997,1,0,19,0,F
776746-AYN2--1998,776746-AYN2,1998,2,0,3,0,F
776747-ARW--1997,776747-ARW,1997,1,1,33,0,F
776748-YBR--1997,776748-YBR,1997,1,2,19,0,F
776750-MYG--1997,776750-MYG,1997,1,1,NA,0,F
776750-MYG--1998,776750-MYG,1998,2,3,-14,0,F
776750-MYG--1999,776750-MYG,1999,3,2,NA,0,F
776750-MYG--2000,776750-MYG,2000,4,3,-7,0,F
776751-WWG--1997,776751-WWG,1997,1,2,NA,0,F
776752-MMB--1997,776752-MMB,1997,1,0,-5,0,F
776752-MMB--1998,776752-MMB,1998,2,4,-7,0,F
776753-NBO--1997,776753-NBO,1997,1,3,11,0,F
776754-GGM--1998,776754-GGM,1998,2,0,NA,0,F
776754-GGM--1999,776754-GGM,1999,3,0,3,0,F
776757-GGY--1997,776757-GGY,1997,1,1,12,0,F
776757-GGY--1998,776757-GGY,1998,2,0,-4,0,F
