id,Wing_Morph,DLMstate,CO2_resid
35.3,LW,2,-10.484678621921416
36.1,LW,2,-5.728064856744173
36.2,LW,2,90.98715758054261
36.3,LW,1,60.91404235963934
36.5,SW,0,-1.1427019299657004
37.1,LW,2,-5.361568284071298
37.3,LW,2,-10.75286326695502
37.4,LW,2,3.3067185850088965
37.5,SW,0,-5.4929286917861
38.1,LW,1,-1.5567400959703142
38.2,LW,2,-7.553031818880569
38.4,LW,2,-13.25088301284963
38.5,LW,2,-13.088025077670496
39.1,SW,1,-12.739767728196279
4.8,LW,2,-12.127665567042097
40.1,SW,1,0.13745755107561583
40.2,LW,2,-2.075272813196217
40.3,LW,1,33.38419685503091
40.4,LW,2,-19.459704035714175
41.1,LW,1,-5.209535563245039
41.10,LW,2,-6.5229337573207
41.11,SW,0,-2.8454193944968527
41.2,LW,2,-11.685421993513339
41.3,LW,2,-1.5700706155168929
41.4,LW,2,-9.589887552993131
41.5,LW,1,1.9888116703893481
41.7,SW,0,5.254041522736196
41.8,LW,2,4.3177360496938615
41.9,LW,2,-10.816636903193864
42.1,LW,2,-14.54714964537446
42.2,LW,1,-5.765117135833766
42.3,LW,2,-16.799223038374905
42.4,LW,2,-10.286815023098002
42.5,LW,2,-10.12713227690925
42.7,LW,2,-13.571169142655254
43.1,LW,1,13.293467429351118
43.2,SW,0,-2.9225968769248545
44.1,LW,1,-1.3775741011415634
44.2,LW,1,-5.600366711895907
44.3,LW,2,-9.50082306337782
44.4,LW,2,-5.174524892041591
44.5,LW,2,-2.740704213773238
44.6,LW,2,15.921778176382254
44.7,LW,0,4.0368334220291135
5.17,SW,1,-8.296241003290607
5.6,SW,1,-7.549171640950261
5.7,LW,2,2.817076117523873
5.8,LW,2,-11.540182833663687
50.10,LW,1,25.017543197407424
50.11,LW,2,-7.262647126426152
50.8,LW,2,43.779728578422954
50.9,LW,2,-22.21335915588438
54.2,LW,2,-8.50925916545186
55.21,LW,2,-7.137734686712494
55.3,LW,2,57.77043353625927
56.19,SW,0,-12.370506690159425
56.29,SW,0,-2.7915865063330614
56.49,SW,1,-9.913270184632715
56.7,SW,1,1.6603931667468226
56.8,LW,2,-1.9059442523033667
56.9,LW,2,39.35225135483149
57.1,SW,0,-2.2384520757553106
57.2,SW,1,-11.882025940674943
57.3,SW,1,-7.423820339216585
57.4,SW,0,1.5915341537189271
58.1,LW,2,-8.20492331799893
58.2,LW,2,-12.940981376148208
58.3,LW,2,-14.250328032249728
59.1,SW,1,-7.0158134944881985
6.10,SW,0,-5.551573485844443
6.5,LW,1,-0.20492724275028143
60.1,LW,2,-9.144719929861305
62.1,SW,0,-1.596194288578049
7.5,LW,1,-3.56905630146994
8.3,LW,2,-5.58045934860225
8.31,LW,2,46.8017583715291
8.4,LW,2,-6.014806467784712
86.1,LW,2,-11.596382606416908
86.2,LW,2,-8.15086029657391
86.3,LW,2,-5.807374197798124
87.1,LW,2,-10.39305385060451
87.19,SW,0,-4.036648397261269
87.2,LW,2,48.56002725879937
87.3,LW,2,-20.021044521061718
87.39,LW,2,2.378657693080263
87.4,LW,1,49.571985959761754
96.1,LW,2,0.7271036760916246
96.11,LW,2,-6.288343364472775
96.12,LW,2,40.77122371703654
96.19,SW,0,-6.608709526007081
96.2,SW,0,-2.0631833295165247
96.29,LW,2,-8.296483073724156
96.3,LW,1,46.969731041109604
96.4,LW,2,-18.568312788279666
96.5,LW,2,-15.955152749846985
96.6,SW,0,-8.45683321934213
96.7,LW,2,-12.93446281023752
96.8,LW,2,-6.372522761866407
96.9,LW,2,0.20547298333892935
