"id","x.min","activ","CO2.mean","activ.mean"
"18.4",58.4639446109954,0.00776027308426072,62.2138562139493,0.0137509807473442
"18.41",36.4421420241566,0.00497987322611828,42.2833981721014,0.00804948700774275
"18.5",50.0602858350687,0.0110490621656643,54.4091597735507,0.0125690674823333
"18.51",45.5500712615577,0.0111203161556102,53.2023127588768,0.0139003773104203
"18.6",52.2662251853394,0.0117037406992920,60.9160952789855,0.0281965687378696
"18.7",34.3523698625573,0.00695733183446897,35.3930958282609,0.00884464325032971
"18.8",57.4318031695127,0.00600003241665972,62.4599237155797,0.00740680900538587
"19.1",44.3021999167014,0.00664762675876302,47.8723661177536,0.0059311298227029
"19.2b",73.6894734110787,0.179237093691345,81.6136469347826,0.186249267317283
"19.3",38.1712502111620,0.00688606988066222,47.5429597711957,0.0247155018384149
"19.4",35.03624003207,0.00501781317654727,39.1123520248188,0.0088898504587337
